cms_id,content_tag_list_x,operations_tag_list_x,content_tag_list_y,operations_tag_list_y,Difference
65bc5a24a64b6582fe047bae,['现代简约式客厅'],"['iPad速写图', '美好生活的喜悦']",['现代简约式客厅'],"['iPad速写图', '生活环境的宁静']",True
65bc5a24a64b6582fe047bad,['花瓶'],"['iPad付费包', '美好事物带来的愉悦']",['花瓶'],"['ColorPad付费包-东方静物', '美好事物带来的愉悦']",True
65bc5a24a64b6582fe047bab,['花瓶'],"['iPad付费包', '美好事物带来的愉悦']",['花瓶'],"['ColorPad付费包-东方静物', '美好事物带来的愉悦']",True
65bc5a24a64b6582fe047baa,['花瓶'],"['iPad付费包', '美好事物带来的愉悦']",['花瓶'],"['ColorPad付费包-东方静物', '美好事物带来的愉悦']",True
65bc5a24a64b6582fe047bac,['花瓶'],"['iPad付费包', '美好事物带来的愉悦']",['花瓶'],"['ColorPad付费包-东方静物', '美好事物带来的愉悦']",True
65bc5a24a64b6582fe047ba1,['家庭'],"['iPad付费包', '亲情']",['家庭'],"['ColorPad付费包-家庭时光', '亲情']",True
65bc5a24a64b6582fe047ba0,['其他奇幻动物'],"['iPad付费包', '原创幻想', 'ColorPad付费包-荒诞动物']",['其他奇幻动物'],"['ColorPad付费包-荒诞动物', '原创幻想']",True
65bc5a24a64b6582fe047b9f,['其他奇幻动物'],"['iPad付费包', 'ColorPad付费包-荒诞动物', '原创幻想']",['其他奇幻动物'],"['ColorPad付费包-荒诞动物', '原创幻想']",True
65a8bb9da64b6582fe0284e4,['河流湖泊'],"['iPad速写图', '神秘图', '自然环境的宁静']",['河流湖泊'],"['神秘图', 'iPad速写图', '自然风光的宁静']",True
65b8974ba64b6582fe040e60,['啤酒'],"['iPad速写图', '生活与节日']",['啤酒'],"['iPad速写图', '现实想象创意']",True
65b1ffe4a64b6582fe037d0f,['海洋'],"['自然环境的宁静', 'iPad速写图']",['海洋'],"['iPad速写图', '人工融入自然的宁静']",True
65ae35ee73358196a1651c41,['河流湖泊'],"['iPad速写图', '自然环境的宁静']",['河流湖泊'],"['iPad速写图', '人工融入自然的宁静']",True
65ae35ee73358196a1651c30,['田野'],"['iPad速写图', '自然环境的宁静']",['田野'],"['iPad速写图', '自然风光的宁静']",True
